id,company_name,legal_form,legal_country,operational_country,opening_date
d6af6739-1a1e-4ece-8967-27ccc4431468,"Mcmillan, Cline and Silva",Inc,Bhutan,Malaysia,2003-08-27
c57a582a-6e92-4c36-ac02-38c5528e81d9,Glover-Hernandez,LLC,Guatemala,Lesotho,2014-07-14
a7462b0e-8545-4438-a18c-b8a95f5ccc11,Cain Inc,and Sons,Saint Helena,Macao,2017-02-13
7d1f7f71-0f7c-4cac-b8ed-841e489f33d7,"Banks, Miller and Knight",and Sons,Guinea-Bissau,Denmark,2000-07-15
909f3bcb-a5c8-4d0c-a2f1-2ec3aea74091,Rios-Johnston,Ltd,Iran,Italy,2024-01-22
c73ead95-8451-49e6-ba08-b737968bd0d9,Ho-Ochoa,LLC,Lesotho,Western Sahara,2024-03-30
e52c18b0-63ea-4eb6-aac3-2bdda029808d,Christensen Inc,PLC,Botswana,Uzbekistan,2020-10-27
af33f7d6-c120-4c5d-a03b-373b720e8f10,Williams-Williams,Group,French Southern Territories,Israel,2012-01-31
65a4d10d-8537-4bc8-95cf-c7baa732f384,Carter-Saunders,Ltd,Maldives,Paraguay,2024-04-28
3ec7dd96-2403-452c-a8af-1717825ad9be,"Bailey, Berger and Garcia",PLC,United States of America,Mayotte,2002-09-02
e12d84d3-7231-4246-8627-12dca50e7e66,Alvarado LLC,Inc,Senegal,Sierra Leone,2020-11-16
4a0bc511-5416-458d-98af-f79fec213014,"Ward, Peterson and Snyder",Inc,Chile,Myanmar,2023-05-10
4735b546-9201-4665-bde3-17dd676a5d7c,"Watson, Griffin and Schneider",and Sons,Micronesia,Tokelau,2017-09-15
6ce8137c-8b92-4305-80f9-1a74cdb0b010,"Case, Bartlett and Hudson",LLC,Saint Kitts and Nevis,Northern Mariana Islands,2003-12-09
5a6589b6-61b5-41e8-aa0c-175507f93795,Martinez PLC,Group,Sweden,Ghana,2004-11-01
017f5bae-2bd1-4893-be13-6e1afaa85114,"Scott, Nicholson and Spencer",PLC,Bangladesh,Cuba,2023-05-24
5e42d162-53b6-4b40-a350-3a2d4a3fbabd,"Floyd, Gonzales and Anderson",Ltd,Bouvet Island (Bouvetoya),Brazil,2006-06-27
b3f05533-0539-4ce0-a8cf-e84efd14bd90,Williams-Alvarez,Ltd,Costa Rica,Ukraine,2018-02-09
faa3029b-bfff-4266-843f-a504a1e72232,Carpenter-Carr,and Sons,Congo,Paraguay,2001-12-04
ad95ddf2-8d95-4c67-8940-290fc29872f5,Hanna-Palmer,LLC,North Macedonia,Kyrgyz Republic,2002-10-09
1582d0fc-7c51-4006-bccf-9a2977c694c9,Lopez-Brown,Group,Faroe Islands,American Samoa,2022-12-13
e153e8e2-8c8a-4782-a511-54e8d7c79847,Gardner LLC,PLC,Tokelau,Jordan,2012-02-11
2f934fd3-f9aa-4f7c-aa07-311a3179612a,"Schaefer, Wilson and Hanson",Inc,Turkey,Jamaica,2022-09-02
9e01ebd4-7e92-4959-9941-de9aea0b3d3f,"Mcbride, Hoffman and Wong",Ltd,Thailand,American Samoa,2006-07-23
b194e5b5-6e3e-4cdb-b8b7-68c8736cc970,Wilson LLC,Inc,Palestinian Territory,Saint Vincent and the Grenadines,2002-07-09
972bdc17-f086-4f90-b6b5-11b1fc3eb63f,"Carter, Tran and Floyd",LLC,Algeria,Central African Republic,2003-03-03
fe69ff99-3de6-4d9d-b640-d01183881aa9,Joseph Group,LLC,Guam,British Indian Ocean Territory (Chagos Archipelago),2001-06-13
0e18a211-d054-4505-9bd6-da961bed4f16,"Bailey, Medina and Rose",and Sons,Kyrgyz Republic,Romania,2004-05-09
590dc0de-6cab-4907-ad48-e7a403534eee,"Smith, Cunningham and Sanchez",Group,United States of America,Mauritania,2022-02-04
62897f17-1a42-4d46-acd6-ceb4a2d3ee35,Valdez Group,PLC,South Africa,Cuba,2015-07-15
9af0a271-2ee6-423f-90a7-ee3e650b7f7c,"Logan, Russell and Villa",Group,Switzerland,Egypt,2012-03-21
0a9be12c-a1a9-470f-917c-d9a41e1f8cb2,"Stanley, Romero and Vaughn",Ltd,Sao Tome and Principe,Equatorial Guinea,2022-05-21
d28ab091-43dc-4009-aa81-519278dee161,Mendoza Inc,LLC,Holy See (Vatican City State),Central African Republic,2004-11-27
c4be13ae-6e67-4d1a-98aa-930fcdda870e,"Reyes, Carpenter and Hughes",Inc,French Guiana,Mozambique,2022-02-28
f593ee53-1b26-41f3-ab7c-b1d50b29ac1f,"Brewer, Clark and Morgan",and Sons,Micronesia,British Virgin Islands,2006-10-17
09265c55-f11a-4b2d-b16b-454cf23a6671,"Franklin, Pierce and Cooper",LLC,New Zealand,Bouvet Island (Bouvetoya),2020-07-28
90173153-fd56-4d9e-94ff-504920adb6e8,Brown-Murphy,Ltd,Turkmenistan,Gibraltar,2012-05-20
51459109-27c1-4afd-a8c1-b99f9f5a140b,Castaneda Group,Inc,Jamaica,Macao,2012-03-02
f4279b20-bd26-46a2-8b1e-696cfe0c0189,Stephenson-Le,PLC,Albania,Serbia,2006-02-02
999eb707-5d3e-4f52-9aaa-d27a8dd3c70d,"Medina, Becker and Pollard",Ltd,Saint Barthelemy,Kyrgyz Republic,2016-05-20
ec60a3d9-0393-40ac-8834-41ba6149b8c7,Brown Inc,Ltd,Marshall Islands,Finland,2005-05-04
1ca688a8-a8b1-4266-b018-9ce8100e9941,"Cardenas, Gillespie and Jones",Ltd,Saint Barthelemy,Guinea-Bissau,2005-02-01
7782ee63-c2a4-4738-aabc-ba0806984ec9,"Evans, Jenkins and Booth",Inc,Singapore,Peru,2015-02-03
8fa34cef-6c70-482b-88dd-47428ed5ae1e,"Williams, Sandoval and Brown",Group,Marshall Islands,Gambia,2022-06-29
58bebab0-098e-441c-a627-cd46f993238e,"Potter, Brown and Moss",and Sons,Belarus,Italy,2004-03-27
bbb8db5a-cdfb-4105-87d5-ba9a36c8ffc1,"Zhang, Branch and Charles",LLC,United Arab Emirates,Lesotho,2020-06-12
cd72f744-433f-4dcd-9c16-fc308fe02e61,"Aguilar, Fuller and Molina",and Sons,Christmas Island,Estonia,2002-07-20
f7ac50d7-ba8a-4426-9d10-4f2008f20e03,Johnson-Rios,Inc,Guatemala,Sierra Leone,2006-09-02
6f4cf806-bfd9-4629-a114-b3b431a570e6,"Taylor, Jensen and Morrison",LLC,Armenia,Cambodia,2021-07-12
ae5b086f-c438-4d06-b623-b5a6a80f6a18,Martin-Cole,and Sons,Nepal,Guam,2022-02-21
88419a99-1a1d-43ce-8538-2f1ae0a33a2d,Adams-English,Inc,Jamaica,Cyprus,2002-02-02
78b8c32a-1b4e-4ee0-b674-1b0b4cb6b90f,Hogan-Hanson,Inc,El Salvador,Syrian Arab Republic,2011-09-23
7aebd2e1-1f35-42fc-879e-3609f28a1398,Farrell LLC,LLC,Jordan,Suriname,2014-10-14
6ea3572b-0c75-4939-a9ce-c9adfda673a6,White Inc,Inc,Iraq,Palestinian Territory,2000-06-07
056241d6-a46a-404f-98db-c027ceb73378,Avila Ltd,Inc,Korea,Lao People's Democratic Republic,2019-12-28
67314116-ced6-4cc7-802c-c69572193cc7,Simon-Austin,Inc,Comoros,Guyana,2016-07-26
2e4ee39e-d99d-4bc5-b289-ab383e80d328,"Watkins, Farmer and Kirk",LLC,El Salvador,Saint Martin,2014-10-06
e65a354d-1245-4f7d-87f6-5601584d90f2,"Mccoy, Harris and Rodriguez",LLC,Jersey,Andorra,2002-07-15
bbb49637-c911-4a21-98c0-56653d744733,"Nelson, Sawyer and Estrada",LLC,Norfolk Island,Kenya,2008-01-31
f1bc0943-7233-4cf2-9339-9bf823bb29b9,"Boyle, Murphy and Adams",LLC,El Salvador,Micronesia,2004-08-31
7041d51b-fb95-4fed-b541-c838444c47aa,"Holland, Bates and Castro",and Sons,Spain,Burundi,2000-04-20
08143881-057a-4189-b702-cc72d40ca53a,"Lee, Morris and Norton",Group,Finland,Turkmenistan,2009-05-09
dd61370c-27c0-41b5-a6f5-d9167d2d9166,"Owens, Jones and Green",Group,Denmark,Namibia,2012-08-23
da1f75d3-ae53-4e98-89af-3436d91ec5e0,Smith-Hardy,PLC,Liberia,New Caledonia,2022-08-21
7dfc8ddc-65df-4eea-9d96-56a4d47feed1,Baker-Harmon,PLC,Singapore,Austria,2007-10-18
