entity_id,company_id,percentage
97254534-9058-4108-ba2b-c16ff72eb73e,5b91dd7a-6159-48aa-9e4e-964eedb110d2,0.81
cac03d38-eef8-4f63-a19b-4ddfd4d39952,d48de6b9-b3e3-41fd-a96d-f65ee6d6c360,0.06
1125dbfc-b499-4c83-81f8-1f3b0324b2c5,5f84ac4f-0f9c-4d73-9fd1-bf4919c6d763,0.68
f3a688e7-c655-456f-9ae7-b79f212fce6b,360d0767-8635-4901-962d-95d55760731b,0.52
557cb60d-df8a-4b11-a8c2-8acdb361555b,7b10a366-573b-442a-93b9-89c314173815,0.01
443e4553-c26a-455e-84d2-db80157140e4,eff31e05-4fc9-4042-bf3c-bd716ae2e7d2,0.36
2e5a9552-4a81-44ef-91fc-e094c37eb0ee,9d0b0f2a-ec84-4f23-afea-fb6ef1239ff7,0.12
4758ecff-0f87-4731-b92c-ca4b50a89dd0,f8fd1763-0dfb-46ce-83c1-d8b2753beedd,0.27
8c915b2c-5a43-4824-b21f-776b96dc9f21,dea80c70-fa23-46de-8834-0160e053eb23,0.0
fd1e6157-23c9-41f8-ac45-f97e62dbe7a9,7c3f2f6e-8957-4a72-b154-8e3c96e4fe4e,0.93
f865d1f0-f68f-4899-b240-2ceed93fc55c,307da26c-3abb-49a0-9e7a-d322810b041f,0.45
cc0828e0-d38d-4fe4-b81c-3b916c718371,5b4d6b9b-bbc3-4205-bc94-4f7f69a82e0d,0.03
c718368e-f907-496d-897d-bfb7431ce8a5,6778e394-5ba5-45f8-a2bf-79a633092c98,0.22
3d9200fe-447c-4e99-8a14-e232722d2bc2,261b2a52-9a5f-4b47-9682-4b762c0062a8,0.07
7a405e97-2acf-4c60-aec9-ef5e2bb6da53,74e705cf-f581-4a83-9247-1c8e8cf4170c,0.77
523e6efa-8074-477f-8200-388c8527172c,217c3af4-e823-4052-a2fb-653b8824bfe4,0.42
b6bb9d7c-8ecf-4639-ac21-488a33f25d3b,6e9f14e1-4c93-4a7c-b610-eae6e0816608,0.14
05b3eaff-65f6-4f32-ad8b-de627a360c46,240d0625-55b2-4e20-a801-72913319cbde,0.49
91bcc672-e32a-4d78-ba8e-af55caf400f2,7244ee07-62d9-4fcb-bd24-4d0c14c52810,0.37
5c077503-8a21-46df-81fc-c81cee866cad,7f93c19e-15f5-4f13-a1e0-57e6ab0ba16d,0.79
27e27543-a091-4762-9cff-1d644875acfd,34d47c34-1d64-48a4-b49b-2441ca1e9237,0.05
b8996717-547c-4002-87ab-055509bc3cb2,71a43357-28fd-4d36-b6b6-2dc950b91d6a,0.52
b26f43c8-f6c0-4c16-a88f-8916115c057b,2312476f-c699-4551-b7b9-00fbb3bb3723,0.08
90e9cb08-a88a-4a45-884f-ae1af70fd8c0,fa2abbf6-0612-417b-b073-996ba50391e6,0.01
91057099-a7af-4cc6-8212-e2db4c362dc5,7f89ba61-72cc-4640-a403-72565e81f57a,0.11
